type_of_material	headline	web_url	pub_date	section_name
News	Years After a Massacre, Yazidis Finally Bury Their Loved Ones	https://www.nytimes.com/2021/02/07/world/middleeast/yazidi-funeral-isis-iraq.html	2021-02-07T20:03:47+0000	World
News	As Midterms and 2024 Loom, Trump Political Operation Revs Up	https://www.nytimes.com/2022/01/04/us/politics/donald-trump-midterm-elections.html	2022-01-04T16:49:39+0000	U.S.
News	In Ukraine Crisis, the Looming Threat of a New Cold War	https://www.nytimes.com/2022/02/19/world/europe/ukraine-russia-crisis-new-cold-war.html	2022-02-19T15:13:24+0000	World
News	It’s 2021. Why Is ‘Supermom’ Still Around?	https://www.nytimes.com/2021/06/04/us/supermom-work-family-kids.html	2021-06-04T19:54:00+0000	U.S.
News	Most African countries missed a target to vaccinate 10 percent of their people.	https://www.nytimes.com/2021/09/30/world/africa/africa-covid-vaccine.html	2021-09-30T16:32:40+0000	World
Op-Ed	‘Freedom,’ Florida and the Delta Variant Disaster	https://www.nytimes.com/2021/08/02/opinion/Covid-Florida-vaccines.html	2021-08-02T23:00:07+0000	Opinion
News	‘I’ll Never Forget You’: Veterans Push to Get Afghan Partners in War to the U.S.	https://www.nytimes.com/2021/07/22/us/politics/afghanistan-usa-war.html	2021-07-22T21:59:29+0000	U.S.
News	Biden plans to name Robert Santos to lead the Census Bureau, which is racing to complete its 2020 count.	https://www.nytimes.com/2021/04/13/us/politics/biden-census-robert-santos.html	2021-04-13T22:28:57+0000	U.S.
News	Biden and Putin Agree to Extend Nuclear Treaty	https://www.nytimes.com/2021/01/26/world/europe/biden-putin-nuclear-treaty.html	2021-01-26T19:54:52+0000	World
Op-Ed	Why, Despite Everything, You Should Have Kids (if You Want Them)	https://www.nytimes.com/2021/04/13/opinion/baby-bust-covid-philosophy-natalism.html	2021-04-13T09:00:21+0000	Opinion
News	In Minnesota, a G.O.P. Lawmaker’s Death Brings Home the Reality of Covid	https://www.nytimes.com/2021/01/18/us/politics/relph-covid-minnesota.html	2021-01-18T10:00:16+0000	U.S.
News	Howard University Renames College of Fine Arts After Chadwick Boseman	https://www.nytimes.com/2021/05/27/us/howard-chadwick-boseman.html	2021-05-27T14:07:21+0000	U.S.
News	2 Climbers Die on Everest as Pandemic Rampages Through Nepal	https://www.nytimes.com/2021/05/13/world/asia/climbers-die-mount-everest.html	2021-05-13T13:09:32+0000	World
Obituary (Obit)	Gilbert Seltzer, Soldier in the World War II ‘Ghost Army,’ Dies at 106	https://www.nytimes.com/2021/09/11/world/europe/gilbert-seltzer-dead.html	2021-09-11T20:45:12+0000	World
News	Melee Near University of Colorado Boulder Injures 3 Officers	https://www.nytimes.com/2021/03/07/us/university-colorado-boulder-police-party.html	2021-03-08T01:03:52+0000	U.S.
Op-Ed	What the Heck are NFTs? Let’s Ask Beeple.	https://www.nytimes.com/2021/03/22/opinion/sway-kara-swisher-beeple.html	2021-03-22T09:00:06+0000	Opinion
News	Subway Swabbers Find a Microbe Jungle and Thousands of New Species	https://www.nytimes.com/2021/05/26/science/microbes-subway-metasub-mason.html	2021-05-27T00:00:27+0000	Science
Op-Ed	Yuri Milner’s Russian Clapback	https://www.nytimes.com/2022/03/17/opinion/milner-russia-ukraine.html	2022-03-17T23:00:07+0000	Opinion
News	How the Belarus Standoff Is Unlike Recent Migrant Crises	https://www.nytimes.com/article/belarus-poland-border-migrants.html	2021-11-17T20:10:10+0000	World
News	A Century Ago, Miners Fought in a Bloody Uprising. Few Know About It Today.	https://www.nytimes.com/2021/09/06/us/coal-miners-blair-mountain.html	2021-09-06T07:00:15+0000	U.S.
News	Woman’s Disappearance Prompts Outcry Over Safety on London’s Streets	https://www.nytimes.com/2021/03/11/world/europe/uk-sarah-everard-london.html	2021-03-11T15:40:44+0000	World
